"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11","Factor12","Factor13","Factor14","Factor15"
"CYP4F8",0.072853185236454,0.282228350639343,0.160327330231667,0.00354221672751009,0.00179431622382253,0.00539147481322289,0.32400831580162,-0.139787346124649,-0.018782602623105,-0.0207069534808397,0.0245652440935373,0.0562335886061192,0.118332326412201,-0.0861896127462387,0.0957277864217758
"TNNT1",0.323506772518158,-0.0119197806343436,0.0909267142415047,0.0674475356936455,-0.0364363454282284,-0.0258035827428102,-0.0901699960231781,0.160920321941376,0.0868109539151192,-0.162989586591721,0.270594775676727,0.152069956064224,0.0847947299480438,-0.128204122185707,0.168025806546211
"PGR",0.0685877576470375,0.629019141197205,0.177900582551956,-0.00110202329233289,-0.000712773005943745,-0.153815105557442,-0.0405914112925529,-0.0510301329195499,-0.0583522841334343,-0.0967403873801231,-0.0976321697235107,-0.103687725961208,0.0359988957643509,-0.00342399184592068,0.182715967297554
"AQP5",-0.288712859153748,-0.188055500388145,0.322448462247849,0.02740378677845,0.000439525552792475,-0.196772739291191,-0.0330559685826302,0.00268797180615366,-0.0863230153918266,0.174298048019409,-0.0150747392326593,0.221660614013672,0.0429798401892185,-0.150613397359848,-0.0902394205331802
"PLIN1",-0.123565532267094,0.274721205234528,0.0609440915286541,-0.0108042089268565,0.811788439750671,0.185083195567131,-0.00739858904853463,-0.144836872816086,-9.58555974648334e-05,-0.0343791097402573,0.00642892019823194,0.00798331294208765,0.00112652604002506,0.0575959123671055,0.000354618270648643
"GPD1",-0.151984453201294,0.207925125956535,0.0791793689131737,-0.0020839530043304,0.834442496299744,0.178341597318649,-0.0204252377152443,-0.105964988470078,-0.0120097007602453,-0.0036172023974359,0.0533535741269588,0.0615434311330318,0.0295895971357822,0.052861537784338,-0.0258329901844263
"KRT16",-0.242871418595314,-0.385634571313858,0.406271040439606,-0.00136696442496032,0.094716377556324,-0.047276459634304,-0.0438823066651821,0.00329459714703262,-0.0708913877606392,-0.023760112002492,0.561079323291779,-0.205441266298294,0.106007538735867,0.0122817875817418,-0.00738795148208737
"BPIL1",0.0819063484668732,0.382798820734024,0.084347777068615,0.0178855620324612,0.00131854065693915,-0.0132572380825877,0.130370765924454,0.0636125132441521,-0.0033787814900279,0.362416863441467,0.0034041425678879,0.275201499462128,-0.0418250001966953,-0.0655749663710594,-0.177620276808739
"VGLL1",-0.31277522444725,-0.418227195739746,0.442426890134811,-0.0510003790259361,0.00137481186538935,0.0467760153114796,-0.0276549961417913,-0.056519728153944,-0.00877620931714773,-0.0269479006528854,0.143353849649429,-0.0254249218851328,0.00970016699284315,0.0633816197514534,-0.024246122688055
"KLK6",-0.263617783784866,-0.269792526960373,0.636961102485657,-0.00371558382175863,-0.00267709116451442,-0.00361588317900896,-0.144799381494522,0.0183967705816031,-0.0171148963272572,-0.00133980205282569,0.303587436676025,-0.201014474034309,-0.0111421709880233,0.0136990463361144,0.00713730789721012
"MSLN",-0.186380609869957,-0.398247987031937,0.182377830147743,-0.0646506026387215,-0.00117992819286883,-0.128456547856331,-0.0085590984672308,0.120244219899178,-0.086979441344738,-0.0817236825823784,0.30883514881134,0.193419307470322,-0.000984906684607267,-0.0462192185223103,-0.0558613836765289
"KLK7",-0.259959161281586,-0.152517914772034,0.680847346782684,-0.0140395276248455,-9.01372402495326e-07,0.00536738010123372,-0.195200145244598,-0.0156098464503884,-0.00639762915670872,-0.0100190816447139,0.305693179368973,-0.243689134716988,-0.017445795238018,0.00750306714326143,0.00338906585238874
